Comunidades y Ciudades Autónomas	Tamaño de los municipios	Periodo	Total
01 Andalucía	Total	2021	8.472.407
01 Andalucía	Total	2020	8.464.411
01 Andalucía	Total	2019	8.414.240
01 Andalucía	Total	2018	8.384.408
01 Andalucía	Total	2017	8.379.820
01 Andalucía	Total	2016	8.388.107
01 Andalucía	Total	2015	8.399.043
01 Andalucía	Total	2014	8.402.305
01 Andalucía	Total	2013	8.440.300
01 Andalucía	Total	2012	8.449.985
01 Andalucía	Total	2011	8.424.102
01 Andalucía	Total	2010	8.370.975
02 Aragón	Total	2021	1.326.261
02 Aragón	Total	2020	1.329.391
02 Aragón	Total	2019	1.319.291
02 Aragón	Total	2018	1.308.728
02 Aragón	Total	2017	1.308.750
02 Aragón	Total	2016	1.308.563
02 Aragón	Total	2015	1.317.847
02 Aragón	Total	2014	1.325.385
02 Aragón	Total	2013	1.347.150
02 Aragón	Total	2012	1.349.467
02 Aragón	Total	2011	1.346.293
02 Aragón	Total	2010	1.347.095
03 Asturias, Principado de	Total	2021	1.011.792
03 Asturias, Principado de	Total	2020	1.018.784
03 Asturias, Principado de	Total	2019	1.022.800
03 Asturias, Principado de	Total	2018	1.028.244
03 Asturias, Principado de	Total	2017	1.034.960
03 Asturias, Principado de	Total	2016	1.042.608
03 Asturias, Principado de	Total	2015	1.051.229
03 Asturias, Principado de	Total	2014	1.061.756
03 Asturias, Principado de	Total	2013	1.068.165
03 Asturias, Principado de	Total	2012	1.077.360
03 Asturias, Principado de	Total	2011	1.081.487
03 Asturias, Principado de	Total	2010	1.084.341
04 Balears, Illes	Total	2021	1.173.008
04 Balears, Illes	Total	2020	1.171.543
04 Balears, Illes	Total	2019	1.149.460
04 Balears, Illes	Total	2018	1.128.908
04 Balears, Illes	Total	2017	1.115.999
04 Balears, Illes	Total	2016	1.107.220
04 Balears, Illes	Total	2015	1.104.479
04 Balears, Illes	Total	2014	1.103.442
04 Balears, Illes	Total	2013	1.111.674
04 Balears, Illes	Total	2012	1.119.439
04 Balears, Illes	Total	2011	1.113.114
04 Balears, Illes	Total	2010	1.106.049
05 Canarias	Total	2021	2.172.944
05 Canarias	Total	2020	2.175.952
05 Canarias	Total	2019	2.153.389
05 Canarias	Total	2018	2.127.685
05 Canarias	Total	2017	2.108.121
05 Canarias	Total	2016	2.101.924
05 Canarias	Total	2015	2.100.306
05 Canarias	Total	2014	2.104.815
05 Canarias	Total	2013	2.118.679
05 Canarias	Total	2012	2.118.344
05 Canarias	Total	2011	2.126.769
05 Canarias	Total	2010	2.118.519
06 Cantabria	Total	2021	584.507
06 Cantabria	Total	2020	582.905
06 Cantabria	Total	2019	581.078
06 Cantabria	Total	2018	580.229
06 Cantabria	Total	2017	580.295
06 Cantabria	Total	2016	582.206
06 Cantabria	Total	2015	585.179
06 Cantabria	Total	2014	588.656
06 Cantabria	Total	2013	591.888
06 Cantabria	Total	2012	593.861
06 Cantabria	Total	2011	593.121
06 Cantabria	Total	2010	592.250
07 Castilla y León	Total	2021	2.383.139
07 Castilla y León	Total	2020	2.394.918
07 Castilla y León	Total	2019	2.399.548
07 Castilla y León	Total	2018	2.409.164
07 Castilla y León	Total	2017	2.425.801
07 Castilla y León	Total	2016	2.447.519
07 Castilla y León	Total	2015	2.472.052
07 Castilla y León	Total	2014	2.494.790
07 Castilla y León	Total	2013	2.519.875
07 Castilla y León	Total	2012	2.546.078
07 Castilla y León	Total	2011	2.558.463
07 Castilla y León	Total	2010	2.559.515
08 Castilla - La Mancha	Total	2021	2.049.562
08 Castilla - La Mancha	Total	2020	2.045.221
08 Castilla - La Mancha	Total	2019	2.032.863
08 Castilla - La Mancha	Total	2018	2.026.807
08 Castilla - La Mancha	Total	2017	2.031.479
08 Castilla - La Mancha	Total	2016	2.041.631
08 Castilla - La Mancha	Total	2015	2.059.191
08 Castilla - La Mancha	Total	2014	2.078.611
08 Castilla - La Mancha	Total	2013	2.100.998
08 Castilla - La Mancha	Total	2012	2.121.888
08 Castilla - La Mancha	Total	2011	2.115.334
08 Castilla - La Mancha	Total	2010	2.098.373
09 Cataluña	Total	2021	7.763.362
09 Cataluña	Total	2020	7.780.479
09 Cataluña	Total	2019	7.675.217
09 Cataluña	Total	2018	7.600.065
09 Cataluña	Total	2017	7.555.830
09 Cataluña	Total	2016	7.522.596
09 Cataluña	Total	2015	7.508.106
09 Cataluña	Total	2014	7.518.903
09 Cataluña	Total	2013	7.553.650
09 Cataluña	Total	2012	7.570.908
09 Cataluña	Total	2011	7.539.618
09 Cataluña	Total	2010	7.512.381
10 Comunitat Valenciana	Total	2021	5.058.138
10 Comunitat Valenciana	Total	2020	5.057.353
10 Comunitat Valenciana	Total	2019	5.003.769
10 Comunitat Valenciana	Total	2018	4.963.703
10 Comunitat Valenciana	Total	2017	4.941.509
10 Comunitat Valenciana	Total	2016	4.959.968
10 Comunitat Valenciana	Total	2015	4.980.689
10 Comunitat Valenciana	Total	2014	5.004.844
10 Comunitat Valenciana	Total	2013	5.113.815
10 Comunitat Valenciana	Total	2012	5.129.266
10 Comunitat Valenciana	Total	2011	5.117.190
10 Comunitat Valenciana	Total	2010	5.111.706
11 Extremadura	Total	2021	1.059.501
11 Extremadura	Total	2020	1.063.987
11 Extremadura	Total	2019	1.067.710
11 Extremadura	Total	2018	1.072.863
11 Extremadura	Total	2017	1.079.920
11 Extremadura	Total	2016	1.087.778
11 Extremadura	Total	2015	1.092.997
11 Extremadura	Total	2014	1.099.632
11 Extremadura	Total	2013	1.104.004
11 Extremadura	Total	2012	1.108.130
11 Extremadura	Total	2011	1.109.367
11 Extremadura	Total	2010	1.107.220
12 Galicia	Total	2021	2.695.645
12 Galicia	Total	2020	2.701.819
12 Galicia	Total	2019	2.699.499
12 Galicia	Total	2018	2.701.743
12 Galicia	Total	2017	2.708.339
12 Galicia	Total	2016	2.718.525
12 Galicia	Total	2015	2.732.347
12 Galicia	Total	2014	2.748.695
12 Galicia	Total	2013	2.765.940
12 Galicia	Total	2012	2.781.498
12 Galicia	Total	2011	2.795.422
12 Galicia	Total	2010	2.797.653
13 Madrid, Comunidad de	Total	2021	6.751.251
13 Madrid, Comunidad de	Total	2020	6.779.888
13 Madrid, Comunidad de	Total	2019	6.663.394
13 Madrid, Comunidad de	Total	2018	6.578.079
13 Madrid, Comunidad de	Total	2017	6.507.184
13 Madrid, Comunidad de	Total	2016	6.466.996
13 Madrid, Comunidad de	Total	2015	6.436.996
13 Madrid, Comunidad de	Total	2014	6.454.440
13 Madrid, Comunidad de	Total	2013	6.495.551
13 Madrid, Comunidad de	Total	2012	6.498.560
13 Madrid, Comunidad de	Total	2011	6.489.680
13 Madrid, Comunidad de	Total	2010	6.458.684
14 Murcia, Región de	Total	2021	1.518.486
14 Murcia, Región de	Total	2020	1.511.251
14 Murcia, Región de	Total	2019	1.493.898
14 Murcia, Región de	Total	2018	1.478.509
14 Murcia, Región de	Total	2017	1.470.273
14 Murcia, Región de	Total	2016	1.464.847
14 Murcia, Región de	Total	2015	1.467.288
14 Murcia, Región de	Total	2014	1.466.818
14 Murcia, Región de	Total	2013	1.472.049
14 Murcia, Región de	Total	2012	1.474.449
14 Murcia, Región de	Total	2011	1.470.069
14 Murcia, Región de	Total	2010	1.461.979
15 Navarra, Comunidad Foral de	Total	2021	661.537
15 Navarra, Comunidad Foral de	Total	2020	661.197
15 Navarra, Comunidad Foral de	Total	2019	654.214
15 Navarra, Comunidad Foral de	Total	2018	647.554
15 Navarra, Comunidad Foral de	Total	2017	643.234
15 Navarra, Comunidad Foral de	Total	2016	640.647
15 Navarra, Comunidad Foral de	Total	2015	640.476
15 Navarra, Comunidad Foral de	Total	2014	640.790
15 Navarra, Comunidad Foral de	Total	2013	644.477
15 Navarra, Comunidad Foral de	Total	2012	644.566
15 Navarra, Comunidad Foral de	Total	2011	642.051
15 Navarra, Comunidad Foral de	Total	2010	636.924
16 País Vasco	Total	2021	2.213.993
16 País Vasco	Total	2020	2.220.504
16 País Vasco	Total	2019	2.207.776
16 País Vasco	Total	2018	2.199.088
16 País Vasco	Total	2017	2.194.158
16 País Vasco	Total	2016	2.189.534
16 País Vasco	Total	2015	2.189.257
16 País Vasco	Total	2014	2.188.985
16 País Vasco	Total	2013	2.191.682
16 País Vasco	Total	2012	2.193.093
16 País Vasco	Total	2011	2.184.606
16 País Vasco	Total	2010	2.178.339
17 Rioja, La	Total	2021	319.796
17 Rioja, La	Total	2020	319.914
17 Rioja, La	Total	2019	316.798
17 Rioja, La	Total	2018	315.675
17 Rioja, La	Total	2017	315.381
17 Rioja, La	Total	2016	315.794
17 Rioja, La	Total	2015	317.053
17 Rioja, La	Total	2014	319.002
17 Rioja, La	Total	2013	322.027
17 Rioja, La	Total	2012	323.609
17 Rioja, La	Total	2011	322.955
17 Rioja, La	Total	2010	322.415
18 Ceuta	Total	2021	83.517
18 Ceuta	Total	2020	84.202
18 Ceuta	Total	2019	84.777
18 Ceuta	Total	2018	85.144
18 Ceuta	Total	2017	84.959
18 Ceuta	Total	2016	84.519
18 Ceuta	Total	2015	84.263
18 Ceuta	Total	2014	84.963
18 Ceuta	Total	2013	84.180
18 Ceuta	Total	2012	84.018
18 Ceuta	Total	2011	82.376
18 Ceuta	Total	2010	80.579
19 Melilla	Total	2021	86.261
19 Melilla	Total	2020	87.076
19 Melilla	Total	2019	86.487
19 Melilla	Total	2018	86.384
19 Melilla	Total	2017	86.120
19 Melilla	Total	2016	86.026
19 Melilla	Total	2015	85.584
19 Melilla	Total	2014	84.509
19 Melilla	Total	2013	83.679
19 Melilla	Total	2012	80.802
19 Melilla	Total	2011	78.476
19 Melilla	Total	2010	76.034
